Affiliated Research Centers,Affiliated Research Labs,Broad Research Areas,DBLP name (all entries):,Department (home),Faculty Update Table,Google Scholar URL,Home page:,Name,Research Areas,Research Areas - Split 1,Research Areas - Split 10,Research Areas - Split 2,Research Areas - Split 3,Research Areas - Split 4,Research Areas - Split 5,Research Areas - Split 6,Research Areas - Split 7,Research Areas - Split 8,Research Areas - Split 9
,,,Xi Niu,SIS,,https://scholar.google.com/citations?user=8s12jxMAAAAJ&hl=en,https://cci.uncc.edu/directory/niu-xi-sunshine,Xi Niu,"Knowledge Discovery in Data and Text,Data Analytics,Log Analysis,Faceted Search,Search Behavior,Information Seeking Behavior",Knowledge Discovery in Data and Text,,Data Analytics,Log Analysis,Faceted Search,Search Behavior,Information Seeking Behavior,,,
CSI (Complex Systems Institute),,,"Dimitris Papanikolaou;
Dimitrios Papanikolaou.",SIS,,,www.dimitris-papanikolaou.com,Dimitrios Papanikolaou,"""Studying, Designing, and Assessing Synergies for Smart Cities"",Data-driven Urban Dynamics Modeling,Institutional Mechanisms for Self-regulation,Human-computer Interfaces",,,,,,,Human-computer Interfaces,,,
,Health Informatics Lab,"Social Computing,Health Informatics",Albert Park,SIS,,https://scholar.google.com/citations?user=2yOn5RgAAAAJ&hl=en,https://cci-hit.uncc.edu/,Albert Park,"Social Computing,Health Informatics,Online Health Communities,Social Media,Machine Learning,Obesity,Misinformation",Social Computing,,Health Informatics,Online Health Communities,Social Media,Machine Learning,Obesity,Misinformation,,
,,"Diversity issues in user interfaces,Information Refinding,Usability Engineering",Manuel A. Pérez-Quiñones,SIS,,https://scholar.google.com/citations?user=ZiR4ZnEAAAAJ&hl=en,https://webpages.uncc.edu/mperez19/,Manuel A. Pérez Quiñones,"Human-Computer Interaction,Personal Information Management,Computers in Education",Human-Computer Interaction,,Personal Information Management,Computers in Education,,,,,,
,,"Operating Systems,Computer Science Education,Real-time systems",Harini Ramaprasad,CS,,https://scholar.google.com/citations?user=-ILzCrcAAAAJ&hl=en,https://webpages.uncc.edu/hramapra/,Harini Ramaprasad,"Real-Time Systems,Cyber-Physical Systems,Operating Systems,Computer Science Education",Real-Time Systems,,Cyber-Physical Systems,Operating Systems,Computer Science Education,,,,,
Charlotte Visualization Center,KDD Lab,"Personalization and Recommender Systems,Knowledge Discovery & Data Mining,Business Analytics",Zbigniew W Ras,CS,,https://scholar.google.com/citations?user=2ihGAJkAAAAJ&hl=en,https://webpages.uncc.edu/ras/,Zbigniew Ras,"Business Analytics,Art Analytics,Health Informatics,Granular Computing,Data Mining,Music Information Retrieval,Personalization and Recommender Systems,Flexible Query Answering,Collaboration and Intelligent Agents",Business Analytics,,Art Analytics,Health Informatics,Granular Computing,Data Mining,Music Information Retrieval,Personalization and Recommender Systems,Flexible Query Answering,Collaboration and Intelligent Agents
BRC (Bioinformatics Research Center),,,"Robert Reid, Robert W. Reid",Bioinformatics,,https://scholar.google.com/citations?user=KTYCoKcAAAAJ&hl=en,,Robert Reid,"Genome Assembly,Gene Annotation,Plant Genomics,Bioinformatics,Data Analytics",Genome Assembly,,Gene Annotation,Plant Genomics,Bioinformatics,Data Analytics,,,,
,Rogers Lab,"Genetic novelty,Population Genetics,Evolutionary genomics",,Bioinformatics,,https://scholar.google.com/citations?user=S5tEH7EAAAAJ&hl=en,https://cci.uncc.edu/directory/rogers-rebekah,Rebekah Rogers,"Evolutionary Genetics,New Gene Formation",Evolutionary Genetics,,New Gene Formation,,,,,,,
CEI (Center for Education Innovation),,"Computer Science Education,Undergraduate Research Experiences,Scholarship of Broadening Participation in Computing",,CS,,,https://cci.uncc.edu/directory/audrey-rorrer,Audrey Rorrer,"CS Education,Scholarship of Broadening Participation in Computing,Undergraduate Research Experiences,Mixed-methods design,Program Evaluation",CS Education,,Scholarship of Broadening Participation in Computing,Undergraduate Research Experiences,Mixed-methods design,Program Evaluation,,,,
,,"Computer Science Education,Graph Analysis,High Performance Computing",Erik Saule,CS,,https://scholar.google.com/citations?user=QoClHFIAAAAJ&hl=en,https://webpages.uncc.edu/~esaule/public-website/,Erik Saule,"Network Analysis,High Performance Computing,Scheduling,Approximation Algorithms,Graph Algorithms",Network Analysis,,High Performance Computing,Scheduling,Approximation Algorithms,Graph Algorithms,,,,
BRC (Bioinformatics Research Center),J. Schlueter Lab,"Complex Genomes,Genome Evoution,Plant Genomics","Jessica Schlueter, Jessica A. Schlueter",Bioinformatics,,https://scholar.google.com/citations?user=EjqqFLQAAAAJ&hl=en,https://cci.uncc.edu/directory/schlueter-jessica,Jessica Schlueter,"Genome Duplication Processes and Consequences in Plants,Genomics",Genome Duplication Processes and Consequences in Plants,,Genomics,,,,,,,
,,,Susan M. Sell,Bioinformatics,,,https://cci.uncc.edu/directory/sell-susan,Susan Sell,"Biomarker Development for Precision Health,Genomics and Environmental Determinants Disease Susceptibility and Progression,Genomics/Environmental Informatic Tools,Genetic Syndromes of Obesity",Biomarker Development for Precision Health,,Genomics and Environmental Determinants Disease Susceptibility and Progression,Genomics/Environmental Informatic Tools,Genetic Syndromes of Obesity,,,,,
,Bioinformatics Services Division,"Survey Data Analysis,Clinical Data Analysis,Genomics data analysis",Wei Sha,Bioinformatics,,https://scholar.google.com/citations?user=_edAvhIAAAAJ&hl=en,https://cci.uncc.edu/directory/sha-wei,Wei Sha,Biostatistics,Biostatistics,,,,,,,,,
"Charlotte Visualization Center,CSI (Complex Systems Institute)",,"Artificial Intelligence,Computational Sociolinguistics,Natural Language Processing",Samira Shaikh,CS,,https://scholar.google.com/citations?user=x39kyaYAAAAJ&hl=en,https://webpages.uncc.edu/sshaikh2/,Samira Shaikh,"Natural Language Processing,Computational Sociolinguistics,Artificial Intelligence,Computational Social Science,Cognitive Science,Data Science",Natural Language Processing,,Computational Sociolinguistics,Artificial Intelligence,Computational Social Science,Cognitive Science,Data Science,,,
,"""Laboratory of Information Integration, Security, and Privacy (LIISP)""","Systems Security,Privacy,Usable Security",Mohamed Shehab,SIS,,https://scholar.google.com/citations?user=l07_FHkAAAAJ&hl=en,https://liisp.uncc.edu/mshehab,Mohamed Shehab,"Security,Privacy,Mobile Security,Access Control,Social Networks",Security,,Privacy,Mobile Security,Access Control,Social Networks,,,,
,Video and Image Analysis Lab,"Artificial Intelligence,Machine Learning,Computer Vision",Min C. Shin; Min Shin,CS,,https://scholar.google.com/citations?user=BVPAmrwAAAAJ&hl=en,https://sites.google.com/a/uncc.edu/mcshin/,Min C. Shin,"Computer Vision,Object Tracking",Computer Vision,,Object Tracking,,,,,,,
,,,Meera Sridhar,SIS,,https://scholar.google.com/citations?user=UQKzUI4AAAAJ&hl=en,http://webpages.uncc.edu/msridhar/,Meera Sridhar,"Secure Software Development,Securing Legacy Software,Static Analysis,Model-Checking,Abstract Interpretation",Secure Software Development,,Securing Legacy Software,Static Analysis,Model-Checking,Abstract Interpretation,,,,
,Su Lab,,Zhengchang Su,Bioinformatics,,https://scholar.google.com/citations?user=knyhUu4AAAAJ&hl=en,https://webpages.uncc.edu/zcsu/,Zheng-Chang Su,"Computational Inference of Signaling and Metabolic Pathways,Characterization of Transcriptional Regulatory Networks in Prokaryotic and Eukaryotic Cells,Single-cell Transcriptome Sequencing",Computational Inference of Signaling and Metabolic Pathways,,Characterization of Transcriptional Regulatory Networks in Prokaryotic and Eukaryotic Cells,Single-cell Transcriptome Sequencing,,,,,,
Charlotte Visualization Center,,"Learning Technogies,Computer Graphics,Data Visualization",Kalpathi R Subramanian,CS,,https://scholar.google.com/citations?user=dKJr2vwAAAAJ&hl=en,https://webpages.uncc.edu/krs/,Kalpathi Subramanian,"Interactive Computer Graphics,""Scientific, Engineering and Information Visualization"",Medical Image Processing and Analysis,Visual Perception,Visual Learning Technologies,Student Engagement and Motivation,Course/Curriculum Standards,Online Learning",Interactive Computer Graphics,,Scientific Engineering and Information Visualization,,Medical Image Processing and Analysis,Visual Perception,Visual Learning Technologies,Student Engagement and Motivation,Course/Curriculum Standards,Online Learning
,,,,Bioinformatics,,https://scholar.google.com/citations?user=DMXqn-kAAAAJ&hl=en,https://cci.uncc.edu/directory/sung-way,Way Sung,"Mutations,Evolution,Biology",Mutations,,Evolution,Biology,,,,,,
,Uncertainty Quantification Lab,"Artificial Intelligence,Machine Learning,Uncertainty Quantification",Gabriel Terejanu,CS,,https://scholar.google.com/citations?user=Z7LP12kAAAAJ&hl=en,http://uncertaintyquantification.org/,Gabriel Terejanu,"Uncertainty Quantification,Bayesian Inference,Model Calibration and Validation,Machine Learning,Information Theory,Optimal Experimental Design",Uncertainty Quantification,,Bayesian Inference,Model Calibration and Validation,Machine Learning,Information Theory,Optimal Experimental Design,,,
,,,,SIS,,,https://webpages.uncc.edu/wjtolone/Tolone/Home.html,William Tolone,"Critical Infrastructure Protection,Agent-based Modeling & Simulation,Analytics,Agent-based Integration,Secure Collaboration Architectures,Collaborative Systems,Information Environments,Meta-level Architectures",Critical Infrastructure Protection,,Agent-based Modeling & Simulation,Analytics,Agent-based Integration,Secure Collaboration Architectures,Collaborative Systems,Information Environments,Meta-level Architectures,
,,,Angelina A. Tzacheva,CS,,,https://webpages.uncc.edu/aatzache/,Angelina Tzacheva,"Knowledge Discovery in Databases,Distributed Knowledge Systems,Medical Imaging,Bioinformatics,Multimedia Databases",Knowledge Discovery in Databases,,Distributed Knowledge Systems,Medical Imaging,Bioinformatics,Multimedia Databases,,,,
,,,Pu Wang,CS,,https://scholar.google.com/citations?user=0buJlAUAAAAJ&hl=en,https://webpages.uncc.edu/pwang13/,Pu Wang,"Software-Defined Networking,Cyber-Physical Systems,Internet of Nano-Things,UAV Networks",Software-Defined Networking,,Cyber-Physical Systems,Internet of Nano-Things,UAV Networks,,,,,
,,,Weichao Wang,SIS,,https://scholar.google.com/citations?user=AQeAemYAAAAJ&hl=en,http://webpages.uncc.edu/wwang22/,Weichao Wang,"Securing Pervasive Systems,Wireless Networks,Cloud Computing Environments,Computer Security",Securing Pervasive Systems,,Wireless Networks,Cloud Computing Environments,Computer Security,,,,,
,,,Yongge Wang,SIS,,https://scholar.google.com/citations?user=GZtrefYAAAAJ&hl=en,https://webpages.uncc.edu/yonwang/,Yongge Wang,"Cryptography,Information Theory,Information Security,Complexity,Mathematical Logic",Cryptography,,Information Theory,Information Security,Complexity,Mathematical Logic,,,,
Charlotte Visualization Center,,"3D Computer Graphics,Visualization,Virtual and Mixed Reality",Zachary Wartell,CS,,https://scholar.google.com/citations?hl=en&user=Na3SK1kAAAAJ&view_op=list_works&sortby=pubdate,https://webpages.uncc.edu/zwartell/,Zachary Wartell,"Virtual and Mixed Reality Interfaces,Visualization and Interactive Computer Graphics",Virtual and Mixed Reality Interfaces,,Visualization and Interactive Computer Graphics,,,,,,,
Cyber Defense and Network Assurability Center,Systems Security Lab,"Security Data Analytics,Malware Analysis and Defense,System Security",Jinpeng Wei,SIS,,https://scholar.google.com/citations?user=2J9Nd4wAAAAJ&hl=en,http://webpages.uncc.edu/jwei8/,Jinpeng Wei,"Computer Security,Stealthy Malware Detection,""Software Vulnerability Modeling, Detection, Risk Assessment and Prevention"",Active Cyber Defense,Cyber Threat Hunting,Malware Analysis,Cloud Computing Security,Software Vulnerability",Computer Security,Software Vulnerability,Stealthy Malware Detection,"Software Vulnerability Modeling, Detection Risk Assessment and Prevention",,,Active Cyber Defense,Cyber Threat Hunting,Malware Analysis,Cloud Computing Security
Bioinformatics Research Core,Weller Lab,"DNA Sequencing,Nucleic Acid Biophysics,Genomics",Jennifer W. Weller,Bioinformatics,,,https://cci.uncc.edu/directory/weller-jennifer,Jennifer Weller,"Structure-Function relationships of nucleic acids,DNA sequencing techologies,Biological Databases and Ontologies",Structure-Function relationships of nucleic acids,,DNA sequencing techologies,Biological Databases and Ontologies,,,,,,
,,,"DM Wilson, Dale-Marie Wilson",SIS,,https://scholar.google.com/citations?user=T-pzXyUAAAAJ&hl=en,https://webpages.uncc.edu/dwilso1/,Dale-Marie Wilson,"Human Centered Computing,Virtual Agents,Speech Technologies,Affective Computing",Human Centered Computing,,Virtual Agents,Speech Technologies,Affective Computing,,,,,
CEI (Center for Education Innovation),Human Computer Interaction Lab,,"David Wilson, David C. Wilson",SIS,,,http://webpages.uncc.edu/davils/,David Wilson,"Data Science,Recommender Systems,Human-Computer Interaction,Artificial Intelligence,Spatial Systems",Data Science,,Recommender Systems,Human-Computer Interaction,Artificial Intelligence,Spatial Systems,,,,
ROSEHUB (Robots and Sensors for Human Well-being),"""Intelligent, Multimedia, and Interactive Systems Lab""",,Jing Xiao,CS,,,https://webpages.uncc.edu/xiao/,Jing Xiao,"Intelligent Systems,Haptics,Robotics,Computer Vision,Artificial Intelligence",Intelligent Systems,,Haptics,Robotics,Computer Vision,Artificial Intelligence,,,,
